State Code,# of SHC websites ,# LARC present ,# 0 clicks,# 1 click,# 2 clicks,# 3 clicks,# 4 clicks ,# dedicated sections,# external links
AK,3,0,0,0,0,0,0,0,0
AL,13,2,0,1,1,0,0,1,0
AR,10,2,0,1,1,0,0,1,0
AZ,5,3,0,0,3,0,0,3,0
CA,32,19,1,6,10,2,0,15,7
CO,11,1,0,1,0,0,0,1,0
CT,5,1,0,1,0,0,0,0,0
DC,1,0,0,0,0,0,0,0,0
DE,2,1,0,0,1,0,0,1,0
FL,16,5,1,0,3,1,0,4,2
GA,23,4,1,0,3,0,0,3,1
HI,3,1,0,1,0,0,0,0,0
IA,3,1,1,0,0,0,0,0,0
ID,4,1,0,0,0,1,0,1,0
IL,12,4,0,3,1,0,0,2,2
IN,14,4,0,1,1,2,0,3,1
KS,7,1,0,1,0,0,0,0,1
KY,8,2,0,1,1,0,0,2,1
LA,14,2,0,2,0,0,0,1,0
MA,12,1,0,0,1,0,0,1,0
MD,12,7,1,5,1,0,0,4,2
ME,7,2,0,2,0,0,0,2,0
MI,15,6,1,3,2,0,0,3,2
MN,11,4,0,3,1,0,0,3,1
MO,14,3,1,2,0,0,0,1,0
MS,8,0,0,0,0,0,0,0,0
MT,6,3,0,0,2,1,0,3,1
NC,15,3,0,1,2,0,0,2,1
ND,6,1,1,0,0,0,0,0,0
NE,6,0,0,0,0,0,0,0,0
NH,4,2,0,0,2,0,0,2,0
NJ,12,4,0,3,0,1,0,3,0
NM,7,1,0,1,0,0,0,0,0
NV,2,0,0,0,0,0,0,0,0
NY,39,5,0,2,3,0,0,5,2
OH,16,5,0,2,2,1,0,4,1
OK,12,2,0,0,2,0,0,2,1
OR,7,2,0,1,1,0,0,1,0
PA,39,11,2,3,5,1,0,8,2
RI,2,0,0,0,0,0,0,0,0
SC,10,4,0,2,1,0,1,4,2
SD,5,0,0,0,0,0,0,0,0
TN,9,1,0,1,0,0,0,0,0
TX,32,7,0,6,1,0,0,7,1
UT,5,1,0,1,0,0,0,0,1
VA,14,6,1,1,4,0,0,5,1
VT,4,1,1,0,0,0,0,0,0
WA,7,4,0,2,0,2,0,3,2
WI,13,9,0,3,5,1,0,6,4
WV,10,2,1,1,0,0,0,1,0
WY,1,0,0,0,0,0,0,0,0
Total,548,151,13,64,60,13,1,108,39