,University,State Code,Student Health Center,Found by Algorithm,Terms Found,Number of Clicks,URL of page mention was found on,Path,Whether womens/birth control/sexual issues related section present on SHC,Womens Health/Contraception Related Sections,Womens Health/Contraception Related Section Links,Whether Womens Health/Contraception Related Ext Resources,Womens Health/Contraception Related Ext Resources,,,
1,Arizona State University Polytechnic,AZ,https://eoss.asu.edu/health,TRUE,['iud'],2,https://eoss.asu.edu/health/resources/coverage##Aetna,"['https://eoss.asu.edu/health', 'Health Forms', 'Aetna Student Health Insurance']",TRUE,['Sexual Health'],['https://eoss.asu.edu/health/resources/sti'],FALSE,[],,,
2,Arizona State University Tempe,AZ,https://eoss.asu.edu/health,TRUE,['iud'],2,https://eoss.asu.edu/health/resources/coverage##Aetna,"['https://eoss.asu.edu/health', 'Health Forms', 'Aetna Student Health Insurance']",TRUE,['Sexual Health'],['https://eoss.asu.edu/health/resources/sti'],FALSE,[],,,
3,Armstrong State University,GA,https://auxiliary.georgiasouthern.edu/healthservices/,TRUE,['depo-provera'],2,https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/,"['https://auxiliary.georgiasouthern.edu/healthservices/', 'Sexual Assault Assistance', ""Women's Health Clinic | Health Services""]",TRUE,"['Sexual Assault Assistance', 'Prevention of Men’s Violence Against Women Champion’s Committee', 'Comprehensive Sexual Assault Awareness Curriculum for University Athletics', ""Women's Health Clinic | Health Services"", ""RAD Women's Self-Defense Class | Health Services""]","['https://auxiliary.georgiasouthern.edu/healthservices/sexual-assault-assistance/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/prevention-of-mens-violence-against-women-champions-committee/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/comprehensive-sexual-assault-awareness-curriculum-for-university-athletics/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/scheduled-programs-and-requests/rad-womens-self-defense-class/']",FALSE,[],,,
4,Bemidji State University,MN,https://www.bemidjistate.edu/services/health-counseling/,TRUE,['contracept shot'],2,https://www.bemidjistate.edu/services/health-counseling/health-services/services-provided/,"['https://www.bemidjistate.edu/services/health-counseling/', 'Health Services', 'Services provided']",TRUE,"['Birth Control', 'Sexual Health', 'Sexual health services']","['https://www.bemidjistate.edu/services/health-counseling/appointments/insurance/', 'https://www.bemidjistate.edu/services/health-education/sexual-health/', 'https://www.bemidjistate.edu/services/health-counseling/health-services/services/']",FALSE,[],,,
5,Binghamton University,NY,https://www.binghamton.edu/health/,TRUE,['depoprovera'],2,https://www.binghamton.edu/health/services/womens-services.html,"['https://www.binghamton.edu/health/', 'Services', 'Women’s services']",TRUE,['Women’s services'],['https://www.binghamton.edu/health/services/womens-services.html'],FALSE,[],,,
6,Bloomsburg University of Pennsylvania,PA,https://intranet.bloomu.edu/health,TRUE,['depo-provera'],1,https://intranet.bloomu.edu/health/services,"['https://intranet.bloomu.edu/health', 'Medical Services']",TRUE,['Sexual Health'],['https://intranet.bloomu.edu/health/sexual_health'],FALSE,[],,,
7,Boise State University,ID,https://healthservices.boisestate.edu/,TRUE,"['depo-provera', 'intrauterin devic']",3,https://www.boisestate.edu/healthservices/sexual-health/,"['https://healthservices.boisestate.edu/', 'University Health Services', 'Who can use Health Services', 'Sexual Health']",TRUE,['Sexual Health'],['https://www.boisestate.edu/healthservices/sexual-health/'],FALSE,[],,,
8,Bowie State University,MD,https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/,TRUE,['contracept inject'],2,https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/emergency-contraception/,"['https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/', ""Women's Health"", 'Emergency Contraception']",TRUE,"[""Women's Health"", 'Partners in Peace /Sexual Assault', 'Sexual Misconduct Policy', 'Gender and Sexual Diversities Resource Center', 'Sexual Health', 'Emergency Contraception', 'VI - 1.40 - Policy on Sexual Misconduct']","['https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/partners-in-peace/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-misconduct-policy-2/', 'https://www.bowiestate.edu/campus-life/division-of-student-affairs/gender-and-sexual-diversities-/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/emergency-contraception/', 'https://www.bowiestate.edu/gc/university-policies/section-vi-general-administra/vi-140-policy-on-sexual-misc/']",FALSE,[],,,
9,California State Polytechnic University Pomona,CA,https://www.cpp.edu/~healthcounseling/,TRUE,"['control implant', 'intrauterin devic', 'iuc', 'control shot', 'depo-provera', 'depo']",1,https://www.cpp.edu/~health/health-topics/pregnancy-prevention.shtml,"['https://www.cpp.edu/~healthcounseling/', 'I Need Birth Control']",TRUE,['I Need Birth Control'],['https://www.cpp.edu/~health/health-topics/pregnancy-prevention.shtml'],TRUE,"['https://www.plannedparenthood.org/learn/birth-control', 'http://www.ashasexualhealth.org/pdfs/ContraceptiveOptions.pdf', 'https://www.plannedparenthood.org/learn/birth-control/fertility-awareness/whats-temperature-method-fams', 'https://www.plannedparenthood.org/learn/birth-control/fertility-awareness/whats-cervical-mucus-method-fams', 'https://www.plannedparenthood.org/learn/birth-control/fertility-awareness/whats-calendar-method-fams']",,,
10,California State University Bakersfield,CA,http://www.csub.edu/healthcenter/,TRUE,['depoprovera'],2,https://www.csub.edu/healthcenter/Services/women/index.html,"['http://www.csub.edu/healthcenter/', 'Services', ""Women's Clinic""]",TRUE,"[""Women's Clinic""]",['https://www.csub.edu/healthcenter/Services/women/index.html'],FALSE,[],,,
11,California State University East Bay,CA,http://www.csueastbay.edu/shcs/,TRUE,"['depo-provera', 'iud']",3,http://www.csueastbay.edu/medical-services/services/womens-health.html,"['http://www.csueastbay.edu/shcs/', 'Mental Health Services, Emergency Rooms, and Urgent Care Clinics', 'MYPIONEER HEALTH', 'Women’s Health']",TRUE,"['Women’s Health', 'Sexual Health']","['http://www.csueastbay.edu/medical-services/services/womens-health.html', 'http://www.csueastbay.edu/healthed/health-topics/sexual-health.html']",FALSE,[],,,
12,California State University Fresno,CA,http://www.fresnostate.edu/studentaffairs/health/,TRUE,['contracept inject'],2,http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html,"['http://www.fresnostate.edu/studentaffairs/health/', 'MEDICAL SERVICES', 'SEXUAL HEALTH']",TRUE,['SEXUAL HEALTH'],['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html'],FALSE,[],,,
13,California State University Fullerton,CA,https://www.fullerton.edu/health/,TRUE,['iud'],1,https://www.fullerton.edu/health/services,"['https://www.fullerton.edu/health/', 'SERVICES']",FALSE,[],[],FALSE,[],,,
14,California State University Long Beach,CA,http://www.csulb.edu/shs,TRUE,"['depo provera', 'depo', 'provera']",2,http://web.csulb.edu/divisions/students/hrc/shaw.htm,"['http://www.csulb.edu/shs', 'Student Affairs Health and Wellness', 'Sexual Health Awareness']",TRUE,"['Sexual Misconduct Information', 'Sexual Health Awareness', 'Sexual Assault Facts & Empowerment (SAFE)']","['http://web.csulb.edu/divisions/students/shs/sexual_assault.htm', 'http://web.csulb.edu/divisions/students/hrc/shaw.htm', 'http://web.csulb.edu/divisions/students/hrc/programs/safe.htm']",FALSE,[],,,
15,California State University Los Angeles,CA,http://www.calstatela.edu/studenthealthcenter,TRUE,"['iud', 'control devic']",2,http://www.calstatela.edu/studenthealthcenter/safe/sexual-violence-and-misconduct,"['http://www.calstatela.edu/studenthealthcenter', 'Dating and Domestic Violence, Sexual Violence & Stalking', 'Sexual Violence and Misconduct']",TRUE,"['Dating and Domestic Violence, Sexual Violence & Stalking', 'Sexual Health', 'Dating & Domestic Violence | Sexual Misconduct & Violence | Stalking', 'Sexual Violence and Misconduct', 'Sex Discrimination and Title IX']","['http://www.calstatela.edu/studenthealthcenter/safe', 'http://www.calstatela.edu/studenthealthcenter/hotlines-resources-and-treatment-locators#sexual-health', 'http://www.calstatela.edu/studenthealthcenter/hotlines-resources-and-treatment-locators#dating-domestic-violence-sexual-misconduct-violence-stalking', 'http://www.calstatela.edu/studenthealthcenter/safe/sexual-violence-and-misconduct', 'http://www.calstatela.edu/studenthealthcenter/safe/resources#sex-discrimination-and-title-ix']",TRUE,['http://www.plannedparenthood.org/'],,,
16,California State University Maritime Academy,CA,https://www.csum.edu/web/health-services/,TRUE,['inject contracept'],2,https://www.csum.edu/web/health-services/womens-health,"['https://www.csum.edu/web/health-services/', 'Medical Services', 'Womens Health']",TRUE,"['Happy 21st Birthday!', 'Womens Health', 'Reporting Sexual Assault']","['https://www.csum.edu/web/health-services/16', 'https://www.csum.edu/web/health-services/womens-health', 'https://www.csum.edu/web/health-services/reporting-sexual-assault']",FALSE,[],,,
17,California State University San Bernardino,CA,https://www.csusb.edu/student-health-center,TRUE,['depo-provera'],0,https://www.csusb.edu/student-health-center,['https://www.csusb.edu/student-health-center'],FALSE,[],[],FALSE,[],,,
18,California State University San Marcos,CA,https://www.csusm.edu/shcs/,TRUE,['depo-provera'],2,https://www.csusm.edu/shcs/medicalservices/women.html,"['https://www.csusm.edu/shcs/', 'Medical Services', ""Women's Health""]",TRUE,"['Not Anymore! Mandatory Online Sexual Violence and Alcohol & Drugs Training', 'Sexual Violence Advocacy and Education', ""Women's Health"", 'Not Anymore: Sexual Violence Prevention']","['https://www.csusm.edu/dos/advocacy/onlinetraining/index.html', 'https://www.csusm.edu/shcs/advocate/index.html', 'https://www.csusm.edu/shcs/medicalservices/women.html', 'https://www.csusm.edu/dos/advocacy/onlinetraining/index.html#paneld10e1301']",FALSE,[],,,
19,California State University Stanislaus,CA,https://www.csustan.edu/health-center,TRUE,['depo-provera'],1,https://www.csustan.edu/health-center/clinical-services,"['https://www.csustan.edu/health-center', 'Clinical Services']",FALSE,[],[],FALSE,[],,,
20,California University of Pennsylvania,PA,https://www.calu.edu/student-life/health-wellness.aspx,TRUE,"['depo provera', 'depo', 'provera']",0,https://www.calu.edu/student-life/health-wellness.aspx,['https://www.calu.edu/student-life/health-wellness.aspx'],FALSE,[],[],FALSE,[],,,
21,Central Michigan University,MI,https://www.cmich.edu/colleges/cmed/CMUHealth/CMUHealthMP/UHS/Pages/default.aspx,TRUE,['depo-provera'],1,https://www.cmich.edu/colleges/cmed/CMUHealth/CMUHealthMP/UHS/Pages/Services.aspx,"['https://www.cmich.edu/colleges/cmed/CMUHealth/CMUHealthMP/UHS/Pages/default.aspx', 'Available Services']",FALSE,[],[],FALSE,[],,,
22,Central Washington University,WA,https://www.cwu.edu/medical-counseling/,TRUE,['iud'],1,http://www.cwu.edu/medical-counseling/welcome-medical-clinic-home,"['https://www.cwu.edu/medical-counseling/', 'Medical Clinic Home']",FALSE,[],[],FALSE,[],,,
23,Clemson University,SC,https://www.clemson.edu/campus-life/student-health/,TRUE,['iud'],1,https://www.clemson.edu/campus-life/student-health/medical/services-and-departments/womens-clinic.html,"['https://www.clemson.edu/campus-life/student-health/medical/', ""WOMEN'S CLINIC""]",TRUE,"[""WOMEN'S CLINIC""]",['https://www.clemson.edu/campus-life/student-health/medical/services-and-departments/womens-clinic.html'],FALSE,[],,,
24,Cleveland State University,OH,https://www.csuohio.edu/health/health,TRUE,['iud'],2,https://www.csuohio.edu/health/emergency-contraceptionplan-b,"['https://www.csuohio.edu/health/health', ""Women's Health Concerns"", 'Emergency Contraception']",TRUE,"[""Women's Health Concerns"", 'Contraception Options', 'Emergency Contraception']","['https://www.csuohio.edu/health/womens-health-concerns', 'https://www.csuohio.edu/health/contraception-options', 'https://www.csuohio.edu/health/emergency-contraceptionplan-b']",FALSE,[],,,
25,College of Charleston,SC,http://studenthealth.cofc.edu/,TRUE,"['depo provera', 'depo', 'provera', 'iud']",2,http://studenthealth.cofc.edu/services/birth-control.php,"['http://studenthealth.cofc.edu/', 'Services', 'Birth Control']",TRUE,"['Sexual Health', 'Birth Control', 'Testing for Sexuality Transmitted Infections (STIs)', 'Gynecological Care', 'Sexually Transmitted Diseases and Sexually Transmitted Infections', 'Sexual Orientation', 'Sexual Assault Information']","['http://studenthealth.cofc.edu/sexual-health/index.php', 'http://studenthealth.cofc.edu/services/birth-control.php', 'http://studenthealth.cofc.edu/services/testing-stis.php', 'http://studenthealth.cofc.edu/sexual-health/gynecologic-care.php', 'http://studenthealth.cofc.edu/sexual-health/sexually-transmitted-diseases-infections.php', 'http://studenthealth.cofc.edu/sexual-health/sexual-orientation.php', 'http://studenthealth.cofc.edu/sexual-assault/index.php']",TRUE,"['http://www.smartersex.org/', 'http://www.womenshealth.gov/publications/our-publications/fact-sheet/birth-control-methods.html']",,,
26,College of William and Mary,VA,https://www.wm.edu/offices/wellness/healthcenter/index.php,TRUE,['depo-provera'],2,https://www.wm.edu/offices/wellness/healthcenter/selfcare/contraception/index.php,"['https://www.wm.edu/offices/wellness/healthcenter/index.php', 'Services', 'contraception']",TRUE,"[""Women's Health"", 'contraception', 'Birth Control']","['https://www.wm.edu/offices/wellness/healthcenter/services/womenshealth/index.php', 'https://www.wm.edu/offices/wellness/healthcenter/selfcare/contraception/index.php', 'https://www.wm.edu/offices/wellness/healthcenter/services/womenshealth/birthcontrol/index.php']",FALSE,[],,,
27,CUNY Graduate School and University Center,NY,https://www.gc.cuny.edu/Prospective-Current-Students/Student-Life/Health-Wellness/Health-Services,TRUE,['iud'],1,https://www.gc.cuny.edu/Prospective-Current-Students/Student-Life/Health-Wellness/Health-Services/Health-and-Wellness-Topics,"['https://www.gc.cuny.edu/Prospective-Current-Students/Student-Life/Health-Wellness/Health-Services', 'Health and Wellness Topics']",TRUE,['Twentyeight Health for Low or No Cost Birth Control Pills Prescribed Online'],['https://www.gc.cuny.edu/News-Events-Public-Programs/News/Detail?id=48794'],TRUE,"['https://www.plannedparenthood.org/', 'http://www.plannedparenthood.org/health-topics/birth-control-4211.htm', 'http://www.plannedparenthood.org/']",,,
28,East Carolina University,NC,http://www.ecu.edu/cs-studentaffairs/studenthealth/,TRUE,"['depo-provera', 'intrauterin devic', 'iud', 'depo']",2,https://studenthealth.ecu.edu/reproductive/,"['http://www.ecu.edu/cs-studentaffairs/studenthealth/', 'Health Sciences Campus', 'Reproductive/Sexual Health']",TRUE,['Reproductive/Sexual Health'],['https://studenthealth.ecu.edu/reproductive/'],FALSE,[],,,
29,Eastern Illinois University,IL,https://www.eiu.edu/health/,TRUE,['depo-provera'],2,https://www.eiu.edu/health/womenshealth.php,"['https://www.eiu.edu/health/', 'LOW-COST\nSERVICES', ""Women's Health""]",TRUE,"[""Women's Health"", 'SEXUAL ASSAULT & INTERPERSONAL VIOLENCE']","['https://www.eiu.edu/health/womenshealth.php', 'http://www.eiu.edu/sexualassaultresources/']",FALSE,[],,,
30,Eastern Kentucky University,KY,https://healthservices.eku.edu/,TRUE,['iud'],1,http://healthservices.eku.edu/women%E2%80%99s-health-clinic,"['https://healthservices.eku.edu/', ""Women's Health Clinic""]",TRUE,"[""Women's Health Clinic"", 'Sexual Health and STI Testing']","['http://healthservices.eku.edu/women%E2%80%99s-health-clinic', 'https://healthservices.eku.edu/sexual-health-and-sti-testing']",FALSE,[],,,
31,Fairmont State University,WV,https://www.fairmontstate.edu/falconcenter/health-services/health-services,TRUE,"['depo provera', 'depo', 'provera']",1,https://www.fairmontstate.edu/falconcenter/health-services/health-services-womens-health,"['https://www.fairmontstate.edu/falconcenter/health-services/health-services', ""Women's Health""]",TRUE,"[""Women's Health""]",['https://www.fairmontstate.edu/falconcenter/health-services/health-services-womens-health'],FALSE,[],,,
32,Ferris State University,MI,https://ferris.edu/htmls/studentlife/HCenter/,TRUE,['depo-provera'],0,https://ferris.edu/htmls/studentlife/HCenter/,['https://ferris.edu/htmls/studentlife/HCenter/'],FALSE,[],[],FALSE,[],,,
33,Florida International University,FL,https://studentaffairs.fiu.edu/wellness/student-health/,TRUE,['intrauterin devic'],2,https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/specialty-services/index.php,"['https://studentaffairs.fiu.edu/wellness/student-health/', 'Services And Fees', 'Specialty Services']",TRUE,"[""Women's Health"", 'Sexual Health']","['https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/womens-health/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/sexual-health/index.php']",FALSE,[],,,
34,Frostburg State University,MD,https://www.frostburg.edu/brady-health/,TRUE,['iud'],1,https://www.frostburg.edu/brady-health/family.php,"['https://www.frostburg.edu/brady-health/', 'REPRODUCTIVE HEALTH SERVICES & GARRETT COUNTY HEALTH DEPT']",TRUE,"['REPRODUCTIVE HEALTH SERVICES & GARRETT COUNTY HEALTH DEPT', 'Womens Health/Birth Control', 'STI Testing (Men and Women)', 'Emergency Contraception', 'Sexual Assault']","['https://www.frostburg.edu/brady-health/family.php', 'https://www.frostburg.edu/brady-health/Services/womens-healthbirth-control.php', 'https://www.frostburg.edu/brady-health/Services/sti-testing.php', 'https://www.frostburg.edu/brady-health/Services/e-contraception.php', 'https://www.frostburg.edu/brady-health/Services/sexual-assault.php']",FALSE,[],,,
35,George Mason University,VA,https://shs.gmu.edu/,TRUE,['depo-provera'],0,https://shs.gmu.edu/,['https://shs.gmu.edu/'],FALSE,[],[],FALSE,[],,,
36,Georgia Institute of Technology Main Campus,GA,https://health.gatech.edu/,TRUE,['depo'],0,https://health.gatech.edu/,['https://health.gatech.edu/'],FALSE,[],[],FALSE,[],,,
37,Georgia Southern University,GA,https://auxiliary.georgiasouthern.edu/healthservices/,TRUE,['depo-provera'],2,https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/,"['https://auxiliary.georgiasouthern.edu/healthservices/', 'Sexual Assault Assistance', ""Women's Health Clinic | Health Services""]",TRUE,"['Health Services, SART Create Prevention of Men’s Violence Against Women Champions Committee', 'Sexual Assault Assistance', 'Prevention of Men’s Violence Against Women Champion’s Committee', 'Comprehensive Sexual Assault Awareness Curriculum for University Athletics', ""Women's Health Clinic | Health Services"", ""RAD Women's Self-Defense Class | Health Services""]","['https://auxiliary.georgiasouthern.edu/healthservices/2019/05/23/health-services-sart-create-prevention-of-mens-violence-against-women-champions-committee/', 'https://auxiliary.georgiasouthern.edu/healthservices/sexual-assault-assistance/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/prevention-of-mens-violence-against-women-champions-committee/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/comprehensive-sexual-assault-awareness-curriculum-for-university-athletics/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/scheduled-programs-and-requests/rad-womens-self-defense-class/']",FALSE,[],,,
38,Georgia State University,GA,https://health.gsu.edu/,TRUE,['depo-provera'],2,https://health.gsu.edu/womens-health/contraceptive-mgt/,"['https://health.gsu.edu/', 'Women', 'Contraceptive Management']",TRUE,"['Women', 'Sexual Misconduct', 'Healthy Sexuality', 'Sexually Transmitted Infections', 'Contraceptive Management', 'After a Sexual Assault', 'Reporting Sexual Misconduct', 'Sexual Misconduct Policy', 'Sexual Misconduct Board', 'Accused of Sexual Misconduct', 'Sexual Assault Victim Bill of Rights']","['https://health.gsu.edu/womens-health/', 'http://victimassistance.gsu.edu/sexual-violation/', 'http://healthpromotion.gsu.edu/healthy-sexuality/', 'https://health.gsu.edu/womens-health/sti/', 'https://health.gsu.edu/womens-health/contraceptive-mgt/', 'https://victimassistance.gsu.edu/after-a-sexual-assault/', 'http://deanofstudents.gsu.edu/reporting-sexual-misconduct', 'http://deanofstudents.gsu.edu/sexual-misconduct-policy', 'http://deanofstudents.gsu.edu/sexual-misconduct-board', 'http://deanofstudents.gsu.edu/accused-of-sexual-misconduct', 'http://victimassistance.gsu.edu/sexual-assault-victim-bill-rights/']",TRUE,"['http://www.plannedparenthood.org/learn/stds-hiv-safer-sex/chlamydia', 'http://www.plannedparenthood.org/learn/stds-hiv-safer-sex/gonorrhea', 'http://www.plannedparenthood.org/learn/stds-hiv-safer-sex/hepatitis-b', 'http://www.plannedparenthood.org/learn/stds-hiv-safer-sex/herpes', 'http://www.plannedparenthood.org/learn/stds-hiv-safer-sex/hpv', 'http://www.plannedparenthood.org/learn/stds-hiv-safer-sex/pelvic-inflammatory-disease-pid', 'http://www.plannedparenthood.org/learn/stds-hiv-safer-sex/syphilis']",,,
39,Grambling State University,LA,http://www.gram.edu/student-life/services/health-center/,TRUE,['depo-provera'],1,http://www.gram.edu/student-life/services/health-center/services.php,"['http://www.gram.edu/student-life/services/health-center/', 'Services Offered']",FALSE,[],[],FALSE,[],,,
40,Indiana University Bloomington,IN,https://healthcenter.indiana.edu/,TRUE,"['depo-provera', 'control inject']",3,https://healthcenter.indiana.edu/wellness/sex-ed.shtml,"['https://healthcenter.indiana.edu/', 'MyHealth', 'CAPS (Counseling and Psychological Services),', 'Sexual Education']",TRUE,"[""Women's Health"", 'Sexual Assault Crisis Service', 'Sexual Education', 'Sexploration']","['https://healthcenter.indiana.edu/services/womens-health.shtml', 'https://healthcenter.indiana.edu/counseling/Sexual-Assault-Crisis-Service.shtml', 'https://healthcenter.indiana.edu/wellness/sex-ed.shtml', 'https://healthcenter.indiana.edu/wellness/sexploration.shtml']",FALSE,[],,,
